initiative_id,initiative_name,initiative_url,consultation_url,topic,consultation_period,consultation_start_date,consultation_end_date,consultation_year,total_feedback,has_summary_report,summary_report_url,has_contributions_zip,contributions_zip_url,has_documents_annexed,documents_annexed_url,scrape_timestamp,scrape_status,error_message
13698,VAT package for travel and tourism,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13698-VAT-package-for-travel-and-tourism,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13698-VAT-package-for-travel-and-tourism/public-consultation_en,Taxation,24 July 2025 - 16 October 2025,24 July 2025,16 October 2025,2025,244,True,https://ec.europa.eu/info/law/better-regulation/api/download/090166e525961e6f,False,,False,,2026-01-13T14:20:10.212234,success,
14671,On-farm animal welfare for certain animals: modernisation of EU legislation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14671-On-farm-animal-welfare-for-certain-animals-modernisation-of-EU-legislation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14671-On-farm-animal-welfare-for-certain-animals-modernisation-of-EU-legislation/public-consultation_en,Food safety,19 September 2025 - 17 December 2025,19 September 2025,17 December 2025,2025,236520,False,,False,,False,,2026-01-13T14:20:16.536009,success,
14549,"EU emissions trading system for maritime, aviation and stationary installations, and market stability reserve – review",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14549-EU-emissions-trading-system-for-maritime-aviation-and-stationary-installations-and-market-stability-reserve-review,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14549-EU-emissions-trading-system-for-maritime-aviation-and-stationary-installations-and-market-stability-reserve-review/public-consultation_en,Climate action,15 April 2025 - 08 July 2025,15 April 2025,08 July 2025,2025,535,True,https://ec.europa.eu/info/law/better-regulation/api/download/090166e5218c9df2,False,,False,,2026-01-13T14:20:21.070278,success,
14729,EU antitrust procedural rules (revision),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14729-EU-antitrust-procedural-rules-revision-,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14729-EU-antitrust-procedural-rules-revision-/public-consultation_en,Competition,10 July 2025 - 02 October 2025,10 July 2025,02 October 2025,2025,27,False,,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-20016-contributions,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-20016-attachments,2026-01-13T14:20:26.437358,success,
14804,Legislative initiative on CO2 transportation infrastructure and markets,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14804-Legislative-initiative-on-CO2-transportation-infrastructure-and-markets,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14804-Legislative-initiative-on-CO2-transportation-infrastructure-and-markets/public-consultation_en,Energy,06 October 2025 - 09 January 2026,06 October 2025,09 January 2026,2025,206,False,,False,,False,,2026-01-13T14:20:32.815446,success,
14640,European Border and Coast Guard – update of EU rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14640-European-Border-and-Coast-Guard-update-of-EU-rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14640-European-Border-and-Coast-Guard-update-of-EU-rules/public-consultation_en,Home affairs,21 August 2025 - 27 November 2025,21 August 2025,27 November 2025,2025,19,False,,False,,False,,2026-01-13T14:20:37.017163,success,
14765,Revision of the CO2 emission standards for cars and vans,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14765-Revision-of-the-CO2-emission-standards-for-cars-and-vans,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14765-Revision-of-the-CO2-emission-standards-for-cars-and-vans/public-consultation_en,"Climate action, Transport",07 July 2025 - 10 October 2025,07 July 2025,10 October 2025,2025,1115,True,https://ec.europa.eu/info/law/better-regulation/api/download/090166e526a418b4,False,,False,,2026-01-13T14:20:41.500205,success,
13872,Textile labelling rules (revision),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-/public-consultation_en,Single market,19 December 2023 - 15 April 2024,19 December 2023,15 April 2024,2023,240,True,https://ec.europa.eu/info/law/better-regulation/api/download/090166e50d85a840,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-32451144-contributions,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-32451144-attachments,2026-01-13T14:20:46.785638,success,
14158,Better protecting sharks through sustainable fishing and trade,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14158-Better-protecting-sharks-through-sustainable-fishing-and-trade,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14158-Better-protecting-sharks-through-sustainable-fishing-and-trade/public-consultation_en,Maritime affairs and fisheries,12 March 2024 - 04 June 2024,12 March 2024,04 June 2024,2024,3455,True,https://ec.europa.eu/info/law/better-regulation/api/download/090166e5163336f0,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-32571804-contributions,True,https://ec.europa.eu/info/law/better-regulation/api/download/local-32571804-attachments,2026-01-13T14:20:54.370616,success,
14511,Standardisation Regulation – revision,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14511-Standardisation-Regulation-revision,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14511-Standardisation-Regulation-revision/public-consultation_en,Single market,24 September 2025 - 17 December 2025,24 September 2025,17 December 2025,2025,599,False,,False,,False,,2026-01-13T14:21:01.788023,success,
